ЖК Bravo Familyв Нур-Султане (Астане),Цена / м2от ‍475 000 ₸≈ $1 090на ‍20 000 ₸≈ $50,SAT-NS,SAT-NS,ул. Нажмиденова,"Жилой комплекс Bravo Family – новостройка комфорт-класса с просторными квартирами улучшенной планировки, расположенная в престижной части столицы."
//storage.googleapis.com/bd-kz-01/layouts-180x180/116352.jpg,С,63.28–64.48 м2,от ‍475 000 ₸ / м2≈ $1 090,от ‍30 058 000 ₸≈ $69 220
//storage.googleapis.com/bd-kz-01/layouts-180x180/84104.jpg,1,32.32–47.05 м2,от ‍475 000 ₸ / м2≈ $1 090,от ‍15 352 000 ₸≈ $35 360
//storage.googleapis.com/bd-kz-01/layouts-180x180/84150.jpg,2,49.82–81.84 м2,от ‍475 000 ₸ / м2≈ $1 090,от ‍23 664 500 ₸≈ $54 500
//storage.googleapis.com/bd-kz-01/layouts-180x180/84158.jpg,3,78.14–96.77 м2,от ‍475 000 ₸ / м2≈ $1 090,от ‍37 116 500 ₸≈ $85 480
//storage.googleapis.com/bd-kz-01/layouts-180x180/84164.jpg,4,99.74–121.5 м2,от ‍475 000 ₸ / м2≈ $1 090,от ‍49 371 300 ₸≈ $113 700
Класс,III класс (комфорт)
Наличие лифта,"да, 1–3 лифта на площадке (грузовой, пассажирский)"
Отопление,центральное
Паркинг,"наземный, гостевой"
Стены,газоблок
Территория,"закрытый двор, электронно-пропускная система"
Технология строительства,монолит
Фасад,фиброцементные панели
Этажность,6–18
"['Класс', 'III класс (комфорт)']"
"['Наличие лифта', 'да, 1–3 лифта на площадке (грузовой, пассажирский)']"
"['Отопление', 'центральное']"
"['Паркинг', 'наземный, гостевой']"
"['Стены', 'газоблок']"
"['Территория', 'закрытый двор, электронно-пропускная система']"
"['Технология строительства', 'монолит']"
"['Фасад', 'фиброцементные панели']"
"['Этажность', '6–18']"
